Customer_ID,Order_ID,Order_Date,State,Category,Sub_Category,Segment,Quantity,Sales,Discount,Cost,Profit,Profit_Margin,Year,Month,Month_Name,Quarter,COVID_Period,Revenue_per_Order,Discount_Band,Margin_Category,Order_Count,Customer_Segment
CUST-00921,ORD-0002924,2020-01-01,Oyo,Office Supplies,Binders,Home Office,3,68944.87,0.18,41036.33,27908.53,0.4,2020,1,January,2020Q1,0,22981.62,High,High,6,Regular
CUST-06429,ORD-0020532,2020-01-01,Abuja,Technology,Phones,Corporate,4,15854.83,0.19,10988.0,4866.84,0.31,2020,1,January,2020Q1,0,3963.71,High,High,1,One-Time
CUST-04454,ORD-0014125,2020-01-01,Rivers,Office Supplies,Pens,Corporate,1,39307.93,0.1,26003.41,13304.52,0.34,2020,1,January,2020Q1,0,39307.93,Moderate,High,5,Regular
CUST-04405,ORD-0013963,2020-01-01,Delta,Office Supplies,Paper,Corporate,3,166329.82,0.0,114303.59,52026.23,0.31,2020,1,January,2020Q1,0,55443.27,No/Low,High,12,Loyal
CUST-05579,ORD-0017799,2020-01-01,Kaduna,Furniture,Shelves,Consumer,5,110150.61,0.08,73984.84,36165.76,0.33,2020,1,January,2020Q1,0,22030.12,Moderate,High,13,Loyal
CUST-03252,ORD-0010435,2020-01-01,Enugu,Furniture,Tables,Consumer,4,200959.37,0.04,137163.24,63796.13,0.32,2020,1,January,2020Q1,0,50239.84,No/Low,High,1,One-Time
CUST-02245,ORD-0007240,2020-01-01,Kano,Furniture,Shelves,Consumer,3,44462.07,0.16,25728.44,18733.63,0.42,2020,1,January,2020Q1,0,14820.69,High,High,5,Regular
CUST-05508,ORD-0017553,2020-01-01,Kano,Technology,Phones,Consumer,5,45846.49,0.09,26679.08,19167.42,0.42,2020,1,January,2020Q1,0,9169.3,Moderate,High,1,One-Time
CUST-06600,ORD-0021126,2020-01-01,Enugu,Technology,Phones,Consumer,3,46164.45,0.09,31278.75,14885.7,0.32,2020,1,January,2020Q1,0,15388.15,Moderate,High,3,Occasional
CUST-05153,ORD-0016370,2020-01-01,Anambra,Furniture,Tables,Home Office,3,93826.97,0.05,69471.99,24354.98,0.26,2020,1,January,2020Q1,0,31275.66,No/Low,High,16,Loyal
CUST-03274,ORD-0010480,2020-01-01,Ogun,Technology,Laptops,Consumer,1,25902.18,0.12,14866.29,11035.88,0.43,2020,1,January,2020Q1,0,25902.18,Moderate,High,3,Occasional
CUST-05241,ORD-0016658,2020-01-01,Kaduna,Technology,Accessories,Corporate,5,102530.36,0.01,59866.37,42663.99,0.42,2020,1,January,2020Q1,0,20506.07,No/Low,High,15,Loyal
CUST-00231,ORD-0000697,2020-01-01,Lagos,Office Supplies,Binders,Corporate,1,3874.85,0.11,2167.32,1707.53,0.44,2020,1,January,2020Q1,0,3874.85,Moderate,High,6,Regular
CUST-01198,ORD-0003914,2020-01-02,Kano,Furniture,Tables,Corporate,4,35552.13,0.05,21234.99,14317.14,0.4,2020,1,January,2020Q1,0,8888.03,No/Low,High,12,Loyal
CUST-07906,ORD-0025165,2020-01-02,Delta,Furniture,Tables,Home Office,5,252688.94,0.11,161899.39,90789.55,0.36,2020,1,January,2020Q1,0,50537.79,Moderate,High,8,Loyal
CUST-01590,ORD-0005114,2020-01-02,Lagos,Technology,Accessories,Corporate,1,35695.05,0.1,26560.48,9134.57,0.26,2020,1,January,2020Q1,0,35695.05,Moderate,High,3,Occasional
CUST-07320,ORD-0023478,2020-01-02,Enugu,Technology,Phones,Consumer,3,83067.47,0.12,51359.21,31708.26,0.38,2020,1,January,2020Q1,0,27689.16,Moderate,High,15,Loyal
CUST-06395,ORD-0020412,2020-01-02,Rivers,Furniture,Tables,Consumer,5,216291.94,0.14,155686.96,60604.98,0.28,2020,1,January,2020Q1,0,43258.39,Moderate,High,17,Loyal
CUST-01024,ORD-0003281,2020-01-02,Lagos,Technology,Accessories,Consumer,3,97635.2,0.06,67695.83,29939.38,0.31,2020,1,January,2020Q1,0,32545.07,Moderate,High,8,Loyal
CUST-04223,ORD-0013404,2020-01-02,Oyo,Technology,Accessories,Consumer,3,65004.52,0.04,41187.31,23817.2,0.37,2020,1,January,2020Q1,0,21668.17,No/Low,High,5,Regular
CUST-07055,ORD-0022580,2020-01-02,Oyo,Furniture,Shelves,Corporate,3,134615.76,0.15,99905.71,34710.05,0.26,2020,1,January,2020Q1,0,44871.92,Moderate,High,1,One-Time
CUST-03614,ORD-0011521,2020-01-03,Abuja,Technology,Phones,Corporate,1,42094.02,0.1,29170.88,12923.14,0.31,2020,1,January,2020Q1,0,42094.02,Moderate,High,6,Regular
